Balanced clips: 55,358  Missing: 24,339
Videos to process: 72  |  Clips: 24,339  |  Workers: 16

  [1/72 videos] 36 spectrograms  ETA: 19min   
  [2/72 videos] 80 spectrograms  ETA: 12min   
  [3/72 videos] 84 spectrograms  ETA: 11min   
  [4/72 videos] 233 spectrograms  ETA: 15min   
  [5/72 videos] 294 spectrograms  ETA: 12min   
  [6/72 videos] 401 spectrograms  ETA: 10min   
  [7/72 videos] 542 spectrograms  ETA: 10min   
  [8/72 videos] 732 spectrograms  ETA: 11min   
  [9/72 videos] 917 spectrograms  ETA: 9min   
  [10/72 videos] 1,179 spectrograms  ETA: 9min   
  [11/72 videos] 1,208 spectrograms  ETA: 9min   
  [12/72 videos] 1,262 spectrograms  ETA: 9min   
  [13/72 videos] 1,482 spectrograms  ETA: 8min   
  [14/72 videos] 1,730 spectrograms  ETA: 8min   
  [15/72 videos] 1,849 spectrograms  ETA: 7min   
  [16/72 videos] 2,011 spectrograms  ETA: 7min   
  [17/72 videos] 2,266 spectrograms  ETA: 7min   
  [18/72 videos] 2,363 spectrograms  ETA: 7min   
  [19/72 videos] 2,647 spectrograms  ETA: 7min   
  [20/72 videos] 2,894 spectrograms  ETA: 6min   
  [21/72 videos] 2,966 spectrograms  ETA: 6min   
  [22/72 videos] 3,118 spectrograms  ETA: 6min   
  [23/72 videos] 3,334 spectrograms  ETA: 6min   
  [24/72 videos] 3,516 spectrograms  ETA: 7min   
  [25/72 videos] 3,678 spectrograms  ETA: 7min   
  [26/72 videos] 3,881 spectrograms  ETA: 6min   
  [27/72 videos] 3,959 spectrograms  ETA: 6min   
  [28/72 videos] 4,657 spectrograms  ETA: 7min   
  [29/72 videos] 4,777 spectrograms  ETA: 6min   
  [30/72 videos] 5,047 spectrograms  ETA: 6min   
  [31/72 videos] 5,117 spectrograms  ETA: 6min   
  [32/72 videos] 5,601 spectrograms  ETA: 6min   
  [33/72 videos] 5,677 spectrograms  ETA: 6min   
  [34/72 videos] 5,911 spectrograms  ETA: 6min   
  [35/72 videos] 5,993 spectrograms  ETA: 6min   
  [36/72 videos] 6,057 spectrograms  ETA: 6min   
  [37/72 videos] 6,118 spectrograms  ETA: 5min   
  [38/72 videos] 6,160 spectrograms  ETA: 5min   
  [39/72 videos] 6,979 spectrograms  ETA: 5min   
  [40/72 videos] 7,153 spectrograms  ETA: 5min   
  [41/72 videos] 7,518 spectrograms  ETA: 5min   
  [42/72 videos] 8,480 spectrograms  ETA: 5min   
  [43/72 videos] 9,075 spectrograms  ETA: 5min   
  [44/72 videos] 9,351 spectrograms  ETA: 4min   
  [45/72 videos] 9,625 spectrograms  ETA: 4min   
  [46/72 videos] 10,326 spectrograms  ETA: 4min   
  [47/72 videos] 10,385 spectrograms  ETA: 4min   
  [48/72 videos] 10,496 spectrograms  ETA: 4min   
  [49/72 videos] 10,574 spectrograms  ETA: 4min   
  [50/72 videos] 10,823 spectrograms  ETA: 3min   
  [51/72 videos] 11,806 spectrograms  ETA: 3min   
  [52/72 videos] 12,416 spectrograms  ETA: 3min   
  [53/72 videos] 12,812 spectrograms  ETA: 3min   
  [54/72 videos] 13,145 spectrograms  ETA: 3min   
  [55/72 videos] 13,367 spectrograms  ETA: 3min   
  [56/72 videos] 13,594 spectrograms  ETA: 3min   
  [57/72 videos] 13,604 spectrograms  ETA: 2min   
  [58/72 videos] 14,709 spectrograms  ETA: 2min   
  [59/72 videos] 14,882 spectrograms  ETA: 2min   
  [60/72 videos] 14,952 spectrograms  ETA: 2min   
  [61/72 videos] 15,166 spectrograms  ETA: 2min   
  [62/72 videos] 15,589 spectrograms  ETA: 2min   
  [63/72 videos] 16,004 spectrograms  ETA: 1min   
  [64/72 videos] 16,594 spectrograms  ETA: 1min   
  [65/72 videos] 17,618 spectrograms  ETA: 1min   
  [66/72 videos] 18,826 spectrograms  ETA: 1min   
  [67/72 videos] 19,472 spectrograms  ETA: 1min   
  [68/72 videos] 20,039 spectrograms  ETA: 1min   
  [69/72 videos] 21,434 spectrograms  ETA: 1min   
  [70/72 videos] 22,169 spectrograms  ETA: 0min   
  [71/72 videos] 22,882 spectrograms  ETA: 0min   
  [72/72 videos] 24,338 spectrograms  ETA: 0min   

Done in 12.0 min  |  New spectrograms: 24,338
Audio index updated: 38,003 total entries → /usershome/cs671_user13/group_42/audio_cnn/data/audio_index.csv
